Id,SalePrice
1461,117377.79
1462,181892.12
1463,179360.81
1464,189711.12
1465,181940.88
1466,163983.06
1467,167638.1
1468,153245.52
1469,172846.58
1470,116823.54
1471,199602.89
1472,106001.15
1473,102974.84
1474,143592.89
1475,119982.484
1476,252236.55
1477,210951.03
1478,246708.08
1479,240598.77
1480,315431.28
1481,218731.69
1482,186367.44
1483,176228.45
1484,162056.67
1485,187731.55
1486,187484.47
1487,243596.75
1488,208900.78
1489,188515.56
1490,215746.33
1491,189702.27
1492,101804.164
1493,198485.78
1494,233109.58
1495,222817.25
1496,227447.61
1497,170355.17
1498,163480.58
1499,168592.36
1500,158542.08
1501,183741.42
1502,164906.14
1503,241226.69
1504,209829.64
1505,201260.89
1506,182657.86
1507,208449.83
1508,179559.52
1509,155606.4
1510,151638.92
1511,150597.81
1512,182993.14
1513,133060.14
1514,151800.55
1515,201578.22
1516,143072.5
1517,159359.6
1518,134543.27
1519,187118.28
1520,133400.66
1521,132650.52
1522,180098.7
1523,108529.305
1524,113331.97
1525,124187.29
1526,107529.66
1527,103734.3
1528,139002.8
1529,146318.52
1530,167057.64
1531,133414.27
1532,104354.16
1533,176976.6
1534,112880.54
1535,145303.97
1536,120830.266
1537,92919.44
1538,147865.08
1539,203294.52
1540,112742.19
1541,140985.11
1542,143142.52
1543,161542.22
1544,94629.05
1545,107429.2
1546,138925.27
1547,132702.52
1548,121606.66
1549,106861.17
1550,146764.33
1551,118223.85
1552,146208.75
1553,133675.61
1554,132028.42
1555,174647.2
1556,91875.516
1557,112141.14
1558,110113.266
1559,98634.41
1560,129694.72
1561,159249.89
1562,137000.66
1563,118407.32
1564,176481.08
1565,148103.88
1566,191584.38
1567,90491.305
1568,196745.53
1569,155474.69
1570,133158.0
1571,125522.31
1572,146505.77
1573,209724.4
1574,124326.17
1575,206898.88
1576,218828.92
1577,172414.73
1578,136625.53
1579,128153.04
1580,187324.5
1581,152220.52
1582,129695.21
1583,249206.38
1584,204868.66
1585,151287.34
1586,86574.04
1587,105986.29
1588,154704.98
1589,103727.87
1590,139015.66
1591,112133.016
1592,127186.055
1593,129159.766
1594,116378.18
1595,102603.12
1596,182342.48
1597,166393.95
1598,186768.48
1599,184980.61
1600,179605.75
1601,85550.48
1602,126974.33
1603,120741.11
1604,229107.6
1605,214591.25
1606,161790.9
1607,156077.55
1608,202703.08
1609,177969.25
1610,133964.16
1611,143667.0
1612,186448.86
1613,165223.03
1614,139147.9
1615,108493.914
1616,100707.57
1617,106794.234
1618,125921.21
1619,129718.22
1620,145392.95
1621,128276.54
1622,152789.48
1623,220120.14
1624,178035.97
1625,109477.266
1626,179769.06
1627,197329.55
1628,241808.27
1629,169417.1
1630,282373.4
1631,187501.27
1632,202344.22
1633,169040.1
1634,183232.73
1635,177854.89
1636,151091.67
1637,173005.88
1638,173122.58
1639,169612.22
1640,213814.38
1641,175967.98
1642,217271.6
1643,200546.42
1644,227004.67
1645,222288.12
1646,157833.62
1647,161986.05
1648,133047.7
1649,139437.36
1650,113141.25
1651,131393.72
1652,106559.836
1653,107061.0
1654,138105.2
1655,133946.02
1656,138203.36
1657,132659.75
1658,148380.12
1659,115275.01
1660,158509.42
1661,309173.66
1662,271008.12
1663,263746.9
1664,274144.38
1665,247740.98
1666,254342.42
1667,262445.7
1668,252379.72
1669,237368.6
1670,256019.42
1671,215896.58
1672,301250.5
1673,241849.55
1674,218113.86
1675,182429.97
1676,183452.0
1677,186402.81
1678,313589.66
1679,265416.03
1680,238490.44
1681,211655.73
1682,238244.69
1683,174266.88
1684,183965.69
1685,186819.27
1686,173548.06
1687,173274.2
1688,190093.27
1689,190844.0
1690,191184.11
1691,187398.12
1692,231351.53
1693,176043.02
1694,179617.23
1695,142526.94
1696,219065.9
1697,142348.31
1698,261271.7
1699,264463.72
1700,201650.9
1701,216832.55
1702,211096.34
1703,218226.0
1704,229417.62
1705,223576.94
