Id,SalePrice_Real,SalePrice_Predicted,SalePrice_Log_Real,SalePrice_Log_Predicted,Erro_Absoluto,Erro_Percentual
1,208500,201076.9,12.24769911637256,12.211448,7423.09375,3.5602368105515585
2,181500,190678.27,12.109016442313738,12.158348,9178.265625,5.056895661157025
3,223500,216252.66,12.317171167298682,12.284207,7247.34375,3.242659395973154
4,140000,151975.97,11.849404844423074,11.931484,11975.96875,8.554263392857143
5,250000,273987.03,12.429220196836383,12.52084,23987.03125,9.5948125
6,143000,163835.03,11.870606902224587,12.006621,20835.03125,14.569951923076923
7,307000,295490.8,12.634606283893019,12.596396,11509.1875,3.748921009771987
8,200000,206071.4,12.206077645517674,12.235983,6071.40625,3.035703125
9,129900,124678.82,11.774527900858468,11.733504,5221.1796875,4.019383901077752
10,118000,110581.15,11.678448377988165,11.613514,7418.8515625,6.287162341101695
11,129500,123617.98,11.771443882099637,11.724959,5882.0234375,4.542103040540541
12,345000,376211.25,12.75130259456002,12.837909,31211.25,9.046739130434784
13,144000,119815.99,11.87757552297847,11.693721,24184.0078125,16.794449869791666
14,279500,238334.9,12.540761149388421,12.381436,41165.09375,14.728119409660106
15,157000,155208.02,11.964007453736912,11.952528,1791.984375,1.141391321656051
16,132000,129288.914,11.790564777297387,11.769813,2711.0859375,2.0538529829545453
17,149000,145642.89,11.91170829631447,11.88892,3357.109375,2.2530935402684564
18,90000,97065.766,11.407576060361786,11.483154,7065.765625,7.8508506944444445
19,159000,156828.8,11.976665770490767,11.962916,2171.203125,1.3655365566037736
20,139000,119238.29,11.842236406331555,11.688888,19761.7109375,14.217058228417267
21,325300,315446.62,12.692506186542177,12.661748,9853.375,3.029011681524746
22,139400,121513.56,11.845109950883979,11.707789,17886.4375,12.831016857962696
23,230000,225891.84,12.345838935721968,12.327816,4108.15625,1.786154891304348
24,129900,133408.4,11.774527900858468,11.801178,3508.40625,2.7008516166281757
25,154000,155962.22,11.944714374881176,11.957376,1962.21875,1.2741680194805194
26,256300,245826.4,12.454107814022272,12.412385,10473.59375,4.086458739758096
27,134800,127925.06,11.811554895830454,11.759208,6874.9375,5.100102002967359
28,306000,289095.9,12.631343648903034,12.574517,16904.09375,5.52421364379085
29,207500,195102.39,12.242891437918386,12.181285,12397.609375,5.974751506024097
30,68500,101449.82,11.134603622683905,11.527329,32949.8203125,48.10192746350365
31,40000,90595.27,10.596659732783579,11.414168,50595.2734375,126.48818359375001
32,149350,136361.03,11.914054519303125,11.823069,12988.96875,8.696999497823905
33,179900,194854.52,12.100161978566867,12.180014,14954.515625,8.31268239299611
34,165500,170547.64,12.016732516077072,12.046776,5047.640625,3.049933912386707
35,277500,267360.0,12.533579815765737,12.496355,10140.0,3.654054054054054
36,309000,312619.78,12.6410997921206,12.652746,3619.78125,1.1714502427184466
37,145000,139467.02,11.884495917930655,11.845591,5532.984375,3.8158512931034485
38,153000,157138.55,11.938199736300925,11.96489,4138.546875,2.7049325980392154
39,109000,118564.95,11.599112335481124,11.683225,9564.953125,8.775186353211009
40,82000,86178.96,11.314486721293981,11.364193,4178.9609375,5.096293826219512
41,160000,140205.3,11.982935344196433,11.85087,19794.703125,12.371689453124999
42,170000,155845.66,12.04355959836804,11.956628,14154.34375,8.32608455882353
43,144000,150940.31,11.87757552297847,11.924646,6940.3125,4.819661458333333
44,130250,121749.85,11.777218637129327,11.709732,8500.1484375,6.526025671785028
45,141000,145440.39,11.856522261533737,11.887528,4440.390625,3.149213209219858
46,319900,262843.7,12.675766851909591,12.479319,57056.3125,17.835671303532354
47,239686,253609.73,12.387089184491993,12.443556,13923.734375,5.809156302412323
48,249700,234143.16,12.428019481065613,12.363692,15556.84375,6.230213756507809
49,113000,93911.97,11.635151947212842,11.450124,19088.03125,16.892063053097345
50,127000,128431.75,11.751950239425476,11.763161,1431.75,1.1273622047244094
51,177000,171025.36,12.083910661257521,12.049573,5974.640625,3.3755031779661016
52,114500,118038.414,11.648338835562747,11.678774,3538.4140625,3.090317958515284
53,110000,131047.82,11.608244735642321,11.783325,21047.8203125,19.134382102272728
54,385000,350460.75,12.861001210669146,12.767007,34539.25,8.971233766233766
55,130000,115369.16,11.775297421715827,11.655901,14630.84375,11.254495192307692
56,180500,182677.38,12.103491596905931,12.115482,2177.375,1.2063019390581717
57,172500,199866.33,12.058158312538197,12.205409,27366.328125,15.86453804347826
58,196500,195682.1,12.188422799337028,12.184252,817.90625,0.41623727735368954
59,438780,403163.03,12.991755706536901,12.907099,35616.96875,8.117272608140754
60,124900,129131.19,11.735276702486741,11.768592,4231.1875,3.387660128102482
61,158000,170923.94,11.970356641102999,12.04898,12923.9375,8.179707278481013
62,101000,93240.695,11.522885696764481,11.44295,7759.3046875,7.682479888613862
63,202500,199118.45,12.218500103788143,12.20166,3381.546875,1.6698996913580246
64,140000,156645.08,11.849404844423074,11.961744,16645.078125,11.889341517857142
65,219500,223592.72,12.299112067295642,12.317586,4092.71875,1.8645643507972665
66,317000,308588.06,12.666660207428574,12.639766,8411.9375,2.6536080441640375
67,180000,187880.03,12.100717685412471,12.143564,7880.03125,4.377795138888889
